date,year,month,day,weekday,is_weekend,is_public_holiday,holiday_name
2025-12-01,2025,12,1,ПН,0,0,""
2025-12-02,2025,12,2,ВТ,0,0,""
2025-12-03,2025,12,3,СР,0,0,""
2025-12-04,2025,12,4,ЧТ,0,0,""
2025-12-05,2025,12,5,ПТ,0,0,""
2025-12-06,2025,12,6,СБ,1,0,""
2025-12-07,2025,12,7,ВС,1,0,""
2025-12-08,2025,12,8,ПН,0,0,""
2025-12-09,2025,12,9,ВТ,0,0,""
2025-12-10,2025,12,10,СР,0,0,""
2025-12-11,2025,12,11,ЧТ,0,0,""
2025-12-12,2025,12,12,ПТ,0,0,""
2025-12-13,2025,12,13,СБ,1,0,""
2025-12-14,2025,12,14,ВС,1,0,""
2025-12-15,2025,12,15,ПН,0,0,""
2025-12-16,2025,12,16,ВТ,0,0,""
2025-12-17,2025,12,17,СР,0,0,""
2025-12-18,2025,12,18,ЧТ,0,0,""
2025-12-19,2025,12,19,ПТ,0,0,""
2025-12-20,2025,12,20,СБ,1,0,""
2025-12-21,2025,12,21,ВС,1,0,""
2025-12-22,2025,12,22,ПН,0,0,""
2025-12-23,2025,12,23,ВТ,0,0,""
2025-12-24,2025,12,24,СР,0,0,""
2025-12-25,2025,12,25,ЧТ,0,0,""
2025-12-26,2025,12,26,ПТ,0,0,""
2025-12-27,2025,12,27,СБ,1,0,""
2025-12-28,2025,12,28,ВС,1,0,""
2025-12-29,2025,12,29,ПН,0,0,""
2025-12-30,2025,12,30,ВТ,0,0,""
2025-12-31,2025,12,31,СР,0,0,""
2026-12-01,2026,12,1,ВТ,0,0,""
2026-12-02,2026,12,2,СР,0,0,""
2026-12-03,2026,12,3,ЧТ,0,0,""
2026-12-04,2026,12,4,ПТ,0,0,""
2026-12-05,2026,12,5,СБ,1,0,""
2026-12-06,2026,12,6,ВС,1,0,""
2026-12-07,2026,12,7,ПН,0,0,""
2026-12-08,2026,12,8,ВТ,0,0,""
2026-12-09,2026,12,9,СР,0,0,""
2026-12-10,2026,12,10,ЧТ,0,0,""
2026-12-11,2026,12,11,ПТ,0,0,""
2026-12-12,2026,12,12,СБ,1,0,""
2026-12-13,2026,12,13,ВС,1,0,""
2026-12-14,2026,12,14,ПН,0,0,""
2026-12-15,2026,12,15,ВТ,0,0,""
2026-12-16,2026,12,16,СР,0,0,""
2026-12-17,2026,12,17,ЧТ,0,0,""
2026-12-18,2026,12,18,ПТ,0,0,""
2026-12-19,2026,12,19,СБ,1,0,""
2026-12-20,2026,12,20,ВС,1,0,""
2026-12-21,2026,12,21,ПН,0,0,""
2026-12-22,2026,12,22,ВТ,0,0,""
2026-12-23,2026,12,23,СР,0,0,""
2026-12-24,2026,12,24,ЧТ,0,0,""
2026-12-25,2026,12,25,ПТ,0,0,""
2026-12-26,2026,12,26,СБ,1,0,""
2026-12-27,2026,12,27,ВС,1,0,""
2026-12-28,2026,12,28,ПН,0,0,""
2026-12-29,2026,12,29,ВТ,0,0,""
2026-12-30,2026,12,30,СР,0,0,""
2026-12-31,2026,12,31,ЧТ,0,0,""
